candidate_id,experience_years,experience_level,domain,skills_list,skills,education,desired_salary_min,desired_salary_max,preferred_locations,open_to_remote,willing_to_relocate
CAND_000031,3,Mid Level,BI,"['business intelligence', 'technical suggestions', 'fastpaced multidisciplinary environment', 'tableau', 'power bi', 'behavioral paradigms and tests', 'excel', 'file sharing tools', '5+ years of experience in business intelligence or data analytics', 'data visualization', 'medical/pharmacy management systems']","business intelligence, technical suggestions, fastpaced multidisciplinary environment, tableau, power bi, behavioral paradigms and tests, excel, file sharing tools, 5+ years of experience in business intelligence or data analytics, data visualization, medical/pharmacy management systems",Master's in Computer Science,100750,128810,"Seattle, WA, Chicago, IL",False,False
CAND_000032,1,Entry Level,Backend,"['microservices', 'intellectual challenges', 'quality control experience', 'high visibility company challenges', 'apis', 'credit policy', 'java', 'scala']","microservices, intellectual challenges, quality control experience, high visibility company challenges, apis, credit policy, java, scala",Bachelor's in Computer Science,67077,103347,"Austin, TX",False,True
CAND_000033,7,Senior,Data,"['data analysis', 'inferentia', 'pandas', 'sql', 'dcm', 'permanent appointment', 'numpy', 'quarterly okrs', 'erp process', 'python', 'statistics']","data analysis, inferentia, pandas, sql, dcm, permanent appointment, numpy, quarterly okrs, erp process, python, statistics",Master's in Applied Mathematics,172211,209327,"Boston, MA, Remote, Chicago, IL",True,False
CAND_000034,0,Internship,BI,"['business intelligence', 'scientific trends analysis', 'power bi', 'mental health', 'excel', 'data visualization', 'software backend development']","business intelligence, scientific trends analysis, power bi, mental health, excel, data visualization, software backend development",Bachelor's in Data Science,46644,77175,"New York, NY, Seattle, WA, Austin, TX",False,True
CAND_000035,4,Mid Level,ML,"['nlp', 'public data sources', 'deep learning', 'user interface design', 'scientific robustness', 'tensorflow', 'data upload and integration', 'machine learning', 'data issues', 'servicing contract analysis', 'pytorch', 'computer vision', 'technical analysts']","nlp, public data sources, deep learning, user interface design, scientific robustness, tensorflow, data upload and integration, machine learning, data issues, servicing contract analysis, pytorch, computer vision, technical analysts",Bachelor's in Engineering,129074,165723,"Remote, Seattle, WA, New York, NY",True,True
CAND_000036,6,Senior,DE,"['gcp', 'aws', 'etl', 'rvu reporting', 'hadoop', 'stream and batch', 'matlab/octave', 'data engineering', 'knowledge discovery', 'data management teams', 'enzyme induction studies', 'biosafety', 'driving innovation', 'airflow', 'spark', '4+ years of programming experience', 'credit product knowledge']","gcp, aws, etl, rvu reporting, hadoop, stream and batch, matlab/octave, data engineering, knowledge discovery, data management teams, enzyme induction studies, biosafety, driving innovation, airflow, spark, 4+ years of programming experience, credit product knowledge",Master's in Applied Mathematics,166409,195941,"Chicago, IL",False,False
CAND_000037,3,Mid Level,ML,"['nlp', 'deep learning', 'scientific data presentation', '4+ years nosql implementation', 'data analytics principles and best practices', 'tensorflow', 'program management certification', 'machine learning', 'data blending', 'pytorch', 'computer vision', 'claims adjudication']","nlp, deep learning, scientific data presentation, 4+ years nosql implementation, data analytics principles and best practices, tensorflow, program management certification, machine learning, data blending, pytorch, computer vision, claims adjudication",Bachelor's in Engineering,129405,160506,"San Francisco, CA, Austin, TX",False,True
CAND_000038,8,Senior,BI,"['surface codes', 'business intelligence', 'modern office space', 'family care resources', 'analytical databases', 'tableau', 'power bi', 'ms azure certifications', 'enterprise reporting systems', 'resume/cv', 'excel', 'wincross', 'transgenic mouse projects', 'data visualization', 'architecture risks']","surface codes, business intelligence, modern office space, family care resources, analytical databases, tableau, power bi, ms azure certifications, enterprise reporting systems, resume/cv, excel, wincross, transgenic mouse projects, data visualization, architecture risks",Master's in Computer Science,160331,187848,"Boston, MA, Chicago, IL",False,False
CAND_000039,6,Senior,ML,"['us healthcare payer business', 'nlp', 'deep learning', 'energy industry experience (optional)', 'data asset management', 'parallel review', 'tensorflow', 'intermediate skills in excel', 'operational applications', 'machine learning', 'sql programming langauage', 'molecularbeam epitaxy (mbe)', 'pytorch', 'ecommerce solution', 'computer vision']","us healthcare payer business, nlp, deep learning, energy industry experience (optional), data asset management, parallel review, tensorflow, intermediate skills in excel, operational applications, machine learning, sql programming langauage, molecularbeam epitaxy (mbe), pytorch, ecommerce solution, computer vision",Master's in Computer Science,149380,174621,"Boston, MA",False,False
CAND_000040,4,Mid Level,BI,"['power systems modeling', 'business intelligence', 'top secret (ts) / sci federal security clearance', 'medassets avega cost accounting system', 'tableau', 'power bi', 'data lake technologies', 'excel', 'gpa', 'data visualization', 'experience in sql querying']","power systems modeling, business intelligence, top secret (ts) / sci federal security clearance, medassets avega cost accounting system, tableau, power bi, data lake technologies, excel, gpa, data visualization, experience in sql querying",Master's in Computer Science,98077,134642,"Boston, MA",False,True
CAND_000041,7,Senior,DE,"['gcp', 'aws', 'nonprofit work', 'etl', 'hadoop', 'xtt assay', 'data engineering', 'system understanding', 'technological changes', 'airflow', 'ods/dw', 'spark', 'diverse individuals']","gcp, aws, nonprofit work, etl, hadoop, xtt assay, data engineering, system understanding, technological changes, airflow, ods/dw, spark, diverse individuals",Master's in Computer Science,153501,174226,"New York, NY",False,False
CAND_000042,9,Senior,ML,"['nlp', 'image/video understanding', 'data querying and modeling tools', 'deep learning', 'tsql (transactsql)', 'tensorflow', 'machine learning', 'crosscompany multidisciplinary teams', 'utility tariff', 'pytorch', 'computer vision']","nlp, image/video understanding, data querying and modeling tools, deep learning, tsql (transactsql), tensorflow, machine learning, crosscompany multidisciplinary teams, utility tariff, pytorch, computer vision",Master's in Applied Mathematics,138217,166873,"New York, NY, Austin, TX, Remote",True,True
CAND_000043,1,Entry Level,DE,"['arm', 'hadoop', 'data engineering', 'operational performance improvement', 'airflow', 'programming', 'spark']","arm, hadoop, data engineering, operational performance improvement, airflow, programming, spark",Bachelor's in Data Science,66526,95076,"Boston, MA",False,True
CAND_000044,0,Internship,Data,"['emergency childcare', 'us base salary: $157100  $244700', 'sql']","emergency childcare, us base salary: $157100  $244700, sql",Bachelor's in Data Science,44895,74915,"Boston, MA, Remote, Austin, TX",True,True
CAND_000045,15,Leadership,ML,"['semantic segmentation', 'nlp', 'deep learning', 'facs machines', 'algorithm maintenance', 'ecotoxicology', 'tensorflow', 'lean delivery', 'clinical workflow improvement', 'machine learning', ""master's in computer science"", 'pytorch', 'computer vision']","semantic segmentation, nlp, deep learning, facs machines, algorithm maintenance, ecotoxicology, tensorflow, lean delivery, clinical workflow improvement, machine learning, master's in computer science, pytorch, computer vision",Master's in Computer Science,209596,244057,"San Francisco, CA, Boston, MA, Remote",True,True
CAND_000046,2,Entry Level,Data,"['data analysis', 'pandas', 'sql', 'machine learning pipelines', 'numpy', 'protein modeling', 'portals', 'equal opportunity compliance', 'python', 'statistics']","data analysis, pandas, sql, machine learning pipelines, numpy, protein modeling, portals, equal opportunity compliance, python, statistics",Bachelor's in Computer Science,70431,107349,"Austin, TX",False,False
CAND_000047,11,Leadership,BI,"['business intelligence', 'primary cell isolation', 'git workflow', 'computational visual neuroscience', 'strong sql', 'tableau', 'power bi', 'video of dissertation research or job market paper and statement of interest', 'excel', 'per', 'data visualization']","business intelligence, primary cell isolation, git workflow, computational visual neuroscience, strong sql, tableau, power bi, video of dissertation research or job market paper and statement of interest, excel, per, data visualization",Master's in Computer Science,247840,269257,"Seattle, WA, San Francisco, CA, New York, NY",False,True
CAND_000048,14,Leadership,Backend,"['conversion logic', 'microservices', 'deep brain stimulation (dbs)', 'cost', 'intermediate data modeling', 'hadoop ecosystem', 'ai platforms', 'apis', 'insights delivery', 'distributed data/computing tools (mapreduce hadoop hive emr kafka spark gurobi or mysql)', 'java', 'scala', 'data consistency assurance']","conversion logic, microservices, deep brain stimulation (dbs), cost, intermediate data modeling, hadoop ecosystem, ai platforms, apis, insights delivery, distributed data/computing tools (mapreduce hadoop hive emr kafka spark gurobi or mysql), java, scala, data consistency assurance",Master's in Computer Science,212023,245298,"Seattle, WA",False,False
CAND_000049,2,Entry Level,DE,"['gcp', 'aws', 'hadoop', 'data engineering', 'complex business problems', 'costing', 'health and racial equity', 'creative storytelling', 'spark']","gcp, aws, hadoop, data engineering, complex business problems, costing, health and racial equity, creative storytelling, spark",Bachelor's in Computer Science,75009,99203,"New York, NY, Boston, MA",False,True
CAND_000050,8,Senior,Backend,"['survivor support', 'microservices', 'gcp pubsub', 'conditional formatting', 'apis', 'wetlab and computing resources', 'geocoding', 'experience with data quality and data governance', 'thin film coatings', 'java', 'scala']","survivor support, microservices, gcp pubsub, conditional formatting, apis, wetlab and computing resources, geocoding, experience with data quality and data governance, thin film coatings, java, scala",Master's in Applied Mathematics,132932,167739,"Seattle, WA",False,False
CAND_000051,1,Entry Level,DE,"['gcp', 'aws', 'etl', 'hadoop', 'data engineering', 'supply chain risks', 'fpsc', 'table structure', 'cash tradeoffs', 'spark']","gcp, aws, etl, hadoop, data engineering, supply chain risks, fpsc, table structure, cash tradeoffs, spark",Bachelor's in Data Science,71993,96414,"New York, NY, San Francisco, CA",False,False
CAND_000052,13,Leadership,Data,"['data analysis', 'mathematical foundations', 'pandas', 'cnn models', 'tertiary education (computer science engineering data science)', 'sql', 'numpy', ""bachelor's or master's degree in computer science"", 'multiparameter data analysis', 'machine learning experience', 'ability to explain complicated analysis and processes', 'python', 'statistics']","data analysis, mathematical foundations, pandas, cnn models, tertiary education (computer science engineering data science), sql, numpy, bachelor's or master's degree in computer science, multiparameter data analysis, machine learning experience, ability to explain complicated analysis and processes, python, statistics",PhD in Machine Learning,242598,267512,"Seattle, WA",False,False
CAND_000053,2,Entry Level,Backend,"['microservices', 'the trade desk', 'marketplace developments', 'apis', 'viral genome recovery', 'enthusiasm', 'java', 'scala']","microservices, the trade desk, marketplace developments, apis, viral genome recovery, enthusiasm, java, scala",Bachelor's in Data Science,71588,105315,"Boston, MA, New York, NY",False,False
CAND_000054,3,Mid Level,ML,"[""2 years' experience working with natural language processing"", 'nlp', 'communicating ideas and solutions', 'deep learning', 'complex documents', 'tensorflow', 'monitoring systems', 'machine learning', 'elasticity analysis', 'gcp and aws', 'ability to quickly analyze and identify more efficient workflows', 'pytorch', 'computer vision']","2 years' experience working with natural language processing, nlp, communicating ideas and solutions, deep learning, complex documents, tensorflow, monitoring systems, machine learning, elasticity analysis, gcp and aws, ability to quickly analyze and identify more efficient workflows, pytorch, computer vision",Bachelor's in Engineering,107317,141161,"Austin, TX, San Francisco, CA, Remote",True,False
CAND_000055,9,Senior,DE,"['gcp', 'project conception', 'aws', 'secondary data analytics', 'etl', 'data management', 'data refresh and update', 'hadoop', 'companypaid life insurance', 'data engineering', 'regulatory and quality system requirements', 'ml systems building', 'd365 finance and operations data', 'pla', 'airflow', 'spark']","gcp, project conception, aws, secondary data analytics, etl, data management, data refresh and update, hadoop, companypaid life insurance, data engineering, regulatory and quality system requirements, ml systems building, d365 finance and operations data, pla, airflow, spark",Master's in Computer Science,178435,216856,"Chicago, IL",False,False
CAND_000056,2,Entry Level,BI,"['tableau', 'power bi', 'single b cell cloning', 'large data volume visualization', 'data visualization']","tableau, power bi, single b cell cloning, large data volume visualization, data visualization",Bachelor's in Data Science,63997,88126,"San Francisco, CA",False,False
CAND_000057,10,Senior,BI,"['business intelligence', 'teamplayer', '5 years of experience in consulting', 'datadriven continuous improvement', 'format design', 'tableau', 'power bi', 'excel', 'roadmap', 'data visualization', 'risk']","business intelligence, teamplayer, 5 years of experience in consulting, datadriven continuous improvement, format design, tableau, power bi, excel, roadmap, data visualization, risk",Master's in Computer Science,158828,182837,"New York, NY, Austin, TX",False,True
CAND_000058,2,Entry Level,DE,"['gcp', 'aws', 'procedure codes', 'hadoop', 'hazardous chemicals', 'advanced analytics methodologies', 'antibody/protein purification', 'airflow', 'spark']","gcp, aws, procedure codes, hadoop, hazardous chemicals, advanced analytics methodologies, antibody/protein purification, airflow, spark",Bachelor's in Computer Science,74726,107400,"San Francisco, CA, Austin, TX, Seattle, WA",False,True
CAND_000059,4,Mid Level,Data,"['data analysis', 'pandas', 'regenerative medicine', 'iso 17025 15189', 'business degree', 'sql', 'numpy', 'operational auditing', 'perception (computer vision time series data text analysis)', 'senseandrespond biocircuits', 'test set selection', 'python', 'statistics']","data analysis, pandas, regenerative medicine, iso 17025 15189, business degree, sql, numpy, operational auditing, perception (computer vision time series data text analysis), senseandrespond biocircuits, test set selection, python, statistics",Bachelor's in Engineering,105380,126887,"Austin, TX, Boston, MA, Remote",True,True
CAND_000060,5,Mid Level,Data,"['data analysis', 'translation', 'network design', 'pandas', 'tailwindcss', 'numpy', 'longitudinal data', 'python']","data analysis, translation, network design, pandas, tailwindcss, numpy, longitudinal data, python",Bachelor's in Engineering,91786,118584,"Chicago, IL",False,True
CAND_000061,7,Senior,DE,"['gcp', 'aws', 'etl', 'data solutions for client it requirements', 'leveraging an understanding of data', 'hadoop', 'afm', 'data engineering', 'automated reports', 'azure data scientist', 'professional software development best practices', 'communication tools', 'dcs', 'acceptable preemployment background and drug test', 'mis or cs degree', 'airflow', 'spark']","gcp, aws, etl, data solutions for client it requirements, leveraging an understanding of data, hadoop, afm, data engineering, automated reports, azure data scientist, professional software development best practices, communication tools, dcs, acceptable preemployment background and drug test, mis or cs degree, airflow, spark",Master's in Computer Science,163009,194989,"Austin, TX",False,False
CAND_000062,3,Mid Level,DE,"['gcp', 'aws', 'etl', 'hadoop', 'general ledger account reconciliation', 'datamart', 'data engineering', 'serving others with compassion', 'data processing', 'airflow', '2+ years of experience in deep learning frameworks', 'goanywhere', 'spark']","gcp, aws, etl, hadoop, general ledger account reconciliation, datamart, data engineering, serving others with compassion, data processing, airflow, 2+ years of experience in deep learning frameworks, goanywhere, spark",Master's in Computer Science,114933,147342,"Boston, MA, New York, NY",False,True
CAND_000063,10,Senior,DE,"['gcp', 'university of texas southwestern medical center', 'aws', 'bid and proposal', 'etl', 'chef/habitat scripts', 'hadoop', 'physical demands: sitting typing keyboarding walking bending reaching standing stooping', 'data engineering', 'microsoft office suite (word excel powerpoint)', 'airflow', 'project issue communication', 'requests for proposals (rfps)', 'spark']","gcp, university of texas southwestern medical center, aws, bid and proposal, etl, chef/habitat scripts, hadoop, physical demands: sitting typing keyboarding walking bending reaching standing stooping, data engineering, microsoft office suite (word excel powerpoint), airflow, project issue communication, requests for proposals (rfps), spark",Master's in Computer Science,167817,199667,"Austin, TX",False,False
CAND_000064,13,Leadership,BI,"['institutional animal care and use committee (iacuc)', 'business intelligence', 'equipment management', '4+ years experience with a public cloud (aws microsoft azure google cloud)', 'full uk driving license', 'scope documentation', 'user requirements analysis', 'tableau', 'power bi', 'high throughput sequencing', 'excel', 'data visualization']","institutional animal care and use committee (iacuc), business intelligence, equipment management, 4+ years experience with a public cloud (aws microsoft azure google cloud), full uk driving license, scope documentation, user requirements analysis, tableau, power bi, high throughput sequencing, excel, data visualization",Master's in Computer Science,245117,275110,Remote,True,True
CAND_000065,6,Senior,Data,"['data analysis', 'pandas', 'iacuc protocols', 'strong consulting skills', 'sql', 'interest rate', 'life cycle assessments (lcas)', 'numpy', 'cloud scalability', 'mobile products and platforms', 'python', 'statistics']","data analysis, pandas, iacuc protocols, strong consulting skills, sql, interest rate, life cycle assessments (lcas), numpy, cloud scalability, mobile products and platforms, python, statistics",Master's in Applied Mathematics,139998,176946,"Boston, MA, New York, NY",False,True
CAND_000066,14,Leadership,DE,"['gcp', 'health care safety net', 'u.s. security clearance', 'aws', 'reusability', 'etl', 'resultsdriven approach', 'hadoop', 'data engineering', 'reading comprehension', 'airflow', 'system cooptimization', 'healthcare data management', 'spark']","gcp, health care safety net, u.s. security clearance, aws, reusability, etl, resultsdriven approach, hadoop, data engineering, reading comprehension, airflow, system cooptimization, healthcare data management, spark",Master's in Computer Science,177834,203989,Remote,True,True
CAND_000067,1,Entry Level,Backend,"['microservices', 'apis', 'life shortterm and longterm disability options', 'cathode coating chemistry', 'java', 'scala', 'algorithmic accountability']","microservices, apis, life shortterm and longterm disability options, cathode coating chemistry, java, scala, algorithmic accountability",Bachelor's in Data Science,67039,91765,"Chicago, IL",False,True
